ciudad,temperatura,unidad
Singapur_4991,95.1,F
Toronto_4992,94.2,F
Auckland_4993,12.1,C
Tijuana_4994,37.4,F
Berlin_4995,38,F
Monterrey_4996,83.5,F
Londres_4997,11.5,F
Melbourne_4998,-1.1,F
Monterrey_4999,-7.4,F
Santiago_5000,22.1,C
Dubai_5001,115.8,F
Boston_5002,-22.2,C
Budapest_5003,1.9,F
Buenos Aires_5004,52.4,F
Auckland_5005,0.1,F
Bogota_5006,-13.1,C
Puebla_5007,49.7,F
Reykjavik_5008,99,F
Bangkok_5009,-19.9,C
Ankara_5010,21,C
Atenas_5011,13.4,C
Puebla_5012,-15.2,F
Helsinki_5013,52.4,F
Bangkok_5014,10,C
Roma_5015,42.1,C
Miami_5016,16.2,F
Chicago_5017,24.8,C
Estocolmo_5018,12.8,F
Puebla_5019,-9.9,C
Atenas_5020,63.6,F
Honolulu_5021,36.6,F
Roma_5022,-29.6,C
Budapest_5023,19.3,F
Tokio_5024,5.7,F
Toronto_5025,41.3,C
Singapur_5026,-9,C
Estocolmo_5027,13.9,C
Cairo_5028,3,C
Houston_5029,48.6,F
Oslo_5030,2.9,C
Houston_5031,45.5,F
Melbourne_5032,31.6,F
Melbourne_5033,50.2,F
Los Angeles_5034,17.5,F
Sydney_5035,28.7,F
Boston_5036,41.6,C
Toronto_5037,48.4,F
Cancun_5038,57.9,F
Denver_5039,-5,C
Cairo_5040,47.3,F
Houston_5041,88.9,F
Lisboa_5042,74.1,F
Varsovia_5043,-7.8,F
Pekín_5044,35,C
Roma_5045,100.3,F
Lagos_5046,53.5,F
Berlin_5047,60.1,F
Miami_5048,2,C
Buenos Aires_5049,6.2,C
Guadalajara_5050,-21.9,C
Monterrey_5051,97.9,F
Oslo_5052,52.4,F
Seattle_5053,35,C
Paris_5054,33.3,C
Boston_5055,32,C
Bangkok_5056,-18.7,C
Houston_5057,42.2,C
Phoenix_5058,-27.9,C
Tokio_5059,-20.5,C
Bangkok_5060,32.1,C
Lima_5061,33.3,F
Budapest_5062,13.6,F
Lisboa_5063,28.7,F
Houston_5064,81.1,F
Sydney_5065,-13.1,C
Phoenix_5066,-10.8,F
Moscu_5067,12.8,C
Buenos Aires_5068,100.3,F
Sydney_5069,-2,C
Helsinki_5070,15,C
Las Vegas_5071,15.5,C
Sydney_5072,-4.6,F
Estocolmo_5073,-14.4,C
Berlin_5074,24.4,F
Moscu_5075,115.4,F
Honolulu_5076,16.7,C
Pekín_5077,85.2,F
Chicago_5078,17.7,C
Santiago_5079,17.5,C
Mumbai_5080,-4.3,F
Varsovia_5081,31.7,C
Sydney_5082,-26.6,C
Miami_5083,-1.2,F
Melbourne_5084,48.9,C
Oslo_5085,48.2,F
Tokio_5086,-4.7,C
Madrid_5087,-1.8,F
Mumbai_5088,43.4,F
Lagos_5089,20.8,F
Paris_5090,44.3,F
Houston_5091,1.9,C
Estocolmo_5092,100.5,F
Nueva York_5093,19.7,F
Melbourne_5094,98.1,F
Nairobi_5095,41,C
Budapest_5096,11.1,F
Los Angeles_5097,-15.9,C
Lisboa_5098,70.6,F
Guadalajara_5099,71.6,F
Estocolmo_5100,-27.2,C
Pekín_5101,-24.9,C
Chicago_5102,14.9,C
Cairo_5103,61.4,F
Santiago_5104,7.4,C
Melbourne_5105,-0.7,F
Paris_5106,4.3,F
Cairo_5107,48.4,F
Puebla_5108,109.7,F
Berlin_5109,23.2,C
Lisboa_5110,4.5,F
Monterrey_5111,57.3,F
Los Angeles_5112,-3.4,C
Bangkok_5113,-6.4,C
Toronto_5114,3.4,C
Santiago_5115,11.5,C
Cairo_5116,33.1,C
Londres_5117,-12.2,C
Puebla_5118,20.9,C
Melbourne_5119,13.4,F
Londres_5120,67.4,F
Varsovia_5121,3,F
Boston_5122,-22.1,C
Toronto_5123,-28.3,C
Tijuana_5124,-21.2,C
Toronto_5125,-22.7,C
Reykjavik_5126,15.1,C
Auckland_5127,-22.7,C
Madrid_5128,-22.5,C
Las Vegas_5129,23.4,C
Las Vegas_5130,-13.7,C
Lisboa_5131,6.1,C
Madrid_5132,-1.2,C
Tijuana_5133,-18.2,C
Sydney_5134,4.8,C
Lima_5135,28.6,C
Bogota_5136,42.1,C
Toronto_5137,58.9,F
Lisboa_5138,6.2,F
Lima_5139,75.2,F
Berlin_5140,35.8,F
Ankara_5141,42.5,C
Pekín_5142,90.1,F
Atenas_5143,5,C
Madrid_5144,48.7,C
Moscu_5145,89.7,F
Ankara_5146,86.3,F
Singapur_5147,15.8,F
Dubai_5148,-26.3,C
Atenas_5149,35.6,F
Caracas_5150,-5.8,C
Varsovia_5151,12,C
Santiago_5152,15.7,F
Monterrey_5153,-24.3,C
Puebla_5154,40.9,C
Houston_5155,13.6,C
Atenas_5156,-27.4,C
Honolulu_5157,47.6,F
Caracas_5158,24.2,C
Santiago_5159,17.4,C
Roma_5160,-20.4,C
Mumbai_5161,114.5,F
Dubai_5162,93.3,F
Las Vegas_5163,46.9,C
Lagos_5164,34.9,F
Buenos Aires_5165,-8.8,C
Paris_5166,62.4,F
Estocolmo_5167,46.8,F
Caracas_5168,62.7,F
Monterrey_5169,-23.3,C
Los Angeles_5170,20.8,F
Madrid_5171,-2,F
Guadalajara_5172,14.5,C
Bogota_5173,4.8,F
Atenas_5174,4.1,F
Cancun_5175,115.7,F
Pekín_5176,4.9,C
Lima_5177,77.3,F
Budapest_5178,93.5,F
Phoenix_5179,108.3,F
Los Angeles_5180,60.2,F
Tokio_5181,19.9,F
Las Vegas_5182,47.3,C
Houston_5183,49.4,C
Helsinki_5184,25.4,C
Denver_5185,43.6,F
Berlin_5186,33.7,C
Toronto_5187,37.8,C
Cancun_5188,51.7,F
Guadalajara_5189,14.5,C
Phoenix_5190,27.4,C
Varsovia_5191,-3.1,C
Moscu_5192,-18.6,F
Boston_5193,-19.7,C
Pekín_5194,91,F
Toronto_5195,-9,F
Madrid_5196,-8.1,F
Ankara_5197,48.1,C
Houston_5198,50.2,F
Puebla_5199,28.8,F
Tijuana_5200,46.6,C
Santiago_5201,16.7,C
Sydney_5202,15.1,C
Miami_5203,42.1,F
Toronto_5204,37.6,C
Santiago_5205,-13.7,C
Honolulu_5206,41.3,C
Roma_5207,58.9,F
Santiago_5208,25.2,C
Atenas_5209,25.7,F
Oslo_5210,-6.5,C
Sydney_5211,-5.3,C
Nueva York_5212,25.9,C
Nueva York_5213,30.5,C
Paris_5214,-4.5,C
Londres_5215,30.9,F
Madrid_5216,38.9,F
Tokio_5217,38.6,C
Boston_5218,-21.9,C
Varsovia_5219,-2.5,C
Lagos_5220,17.5,C
Paris_5221,-0.9,F
Tokio_5222,-7.1,C
Nueva York_5223,102.5,F
Phoenix_5224,9.9,C
Monterrey_5225,59.5,F
Phoenix_5226,38,C
Ankara_5227,13.2,C
Lisboa_5228,100.6,F
Singapur_5229,13.2,C
Atenas_5230,-14.4,C
Guadalajara_5231,41.4,C
Oslo_5232,2.6,C
Auckland_5233,-2.7,C
Budapest_5234,50.5,F
Honolulu_5235,9.8,F
Nairobi_5236,68.8,F
Budapest_5237,99.3,F
Santiago_5238,76.8,F
Estocolmo_5239,69.4,F
Buenos Aires_5240,83.4,F
Dubai_5241,28.4,C
Santiago_5242,-16.1,F
Miami_5243,20,F
Chicago_5244,-15.1,C
Dubai_5245,27.3,C
Pekín_5246,40,C
Houston_5247,-25.8,C
Ankara_5248,83.1,F
Lagos_5249,43.6,C
Mumbai_5250,-3.3,C
Reykjavik_5251,-26.5,C
Chicago_5252,-20.2,C
Nueva York_5253,28.1,C
Oslo_5254,-11.7,F
Nairobi_5255,93,F
Lagos_5256,8.6,F
Varsovia_5257,-28,C
Paris_5258,75.8,F
Guadalajara_5259,37,C
Pekín_5260,92.8,F
Chicago_5261,50.6,F
Seattle_5262,30.3,C
Tijuana_5263,41.9,C
Cairo_5264,62.4,F
Lisboa_5265,-3.7,C
Cairo_5266,3.2,C
Guadalajara_5267,54,F
Estocolmo_5268,-9.3,F
Santiago_5269,76.2,F
Atenas_5270,-14.2,C
Varsovia_5271,109.9,F
Santiago_5272,25.7,C
Atenas_5273,-17.4,F
Seattle_5274,-0.2,F
Moscu_5275,33.6,F
Toronto_5276,44,C
Chicago_5277,35.3,C
Phoenix_5278,17.4,C
Houston_5279,121.7,F
Toronto_5280,111.2,F
Phoenix_5281,13.3,F
Chicago_5282,91.9,F
Lagos_5283,-7.1,C
Lagos_5284,10.1,F
Varsovia_5285,10.7,C
Dubai_5286,51.6,F
Guadalajara_5287,58.3,F
Auckland_5288,-23.7,C
Las Vegas_5289,-22.9,C
Madrid_5290,36.8,F
Helsinki_5291,89.5,F
Nairobi_5292,19.7,F
Mumbai_5293,14.9,F
Singapur_5294,91.3,F
Santiago_5295,99.2,F
Sydney_5296,13.9,C
Cairo_5297,32.5,C
Lisboa_5298,91.1,F
Madrid_5299,46.6,F
Guadalajara_5300,14.3,F
Bangkok_5301,1.8,C
Lisboa_5302,19.9,C
Sydney_5303,-24.4,C
Moscu_5304,44.8,C
Budapest_5305,18.8,C
Mumbai_5306,97.7,F
Berlin_5307,25.4,F
Boston_5308,-21.4,C
Denver_5309,20.8,C
Atenas_5310,24.1,F
Madrid_5311,-29.6,C
Atenas_5312,-5,C
Monterrey_5313,21.5,F
Nueva York_5314,120.7,F
Ankara_5315,-26.7,C
Lisboa_5316,79.7,F
Tijuana_5317,-6,F
Varsovia_5318,89.8,F
Moscu_5319,117.4,F
Phoenix_5320,-25.8,C
Monterrey_5321,29.2,C
Miami_5322,38.4,F
Honolulu_5323,-14.1,F
Santiago_5324,-15,C
Londres_5325,-4.5,C
Dubai_5326,-24.3,C
Guadalajara_5327,106.2,F
Mumbai_5328,41,C
Santiago_5329,-28.1,C
Cairo_5330,24.4,F
Houston_5331,48.6,F
Bogota_5332,14.2,F
Nairobi_5333,102.4,F
Houston_5334,-16.4,F
Singapur_5335,7.6,C
Caracas_5336,36,C
Mumbai_5337,65.2,F
Oslo_5338,-2.2,C
Madrid_5339,46.8,C
Los Angeles_5340,19.4,C
Bangkok_5341,110.2,F
Sydney_5342,19.9,F
Los Angeles_5343,119.7,F
Melbourne_5344,29.5,F
Roma_5345,-29.6,C
Melbourne_5346,113.9,F
Oslo_5347,19,F
Guadalajara_5348,-17,C
Oslo_5349,39.7,C
Auckland_5350,41.7,F
Lagos_5351,62.1,F
Boston_5352,-0.7,C
Ankara_5353,13.7,C
Houston_5354,12,C
Paris_5355,-7,F
Denver_5356,42.3,C
Seattle_5357,-1.9,F
Sydney_5358,-29.6,C
Lima_5359,29,C
Atenas_5360,30.8,F
Honolulu_5361,11.6,F
Bogota_5362,-23,C
Guadalajara_5363,34.8,C
Nueva York_5364,118.3,F
Auckland_5365,37.4,C
Lagos_5366,82.1,F
Nairobi_5367,-19,C
Oslo_5368,31.2,F
Roma_5369,29.8,C
Sydney_5370,12.2,C
Boston_5371,106.6,F
Puebla_5372,-3.3,C
Londres_5373,89.2,F
Londres_5374,3.2,C
Dubai_5375,16.7,C
Boston_5376,41.6,F
Lagos_5377,17.7,C
Londres_5378,-0.9,C
Bangkok_5379,39.1,C
Denver_5380,0.3,C
Tijuana_5381,100.2,F
Caracas_5382,35.1,F
Atenas_5383,4.8,C
Helsinki_5384,-29.4,C
Auckland_5385,57.5,F
Tijuana_5386,-25.6,C
Guadalajara_5387,47.8,C
Bangkok_5388,36.8,C
Tokio_5389,41,C
Bogota_5390,56.1,F
Guadalajara_5391,94.9,F
Tokio_5392,46.1,C
Bangkok_5393,43.5,C
Reykjavik_5394,55.5,F
Bangkok_5395,-24.4,C
Dubai_5396,22.6,C
Phoenix_5397,45.9,C
Lagos_5398,23.8,C
Mumbai_5399,-13.8,C
Roma_5400,61.2,F
Berlin_5401,-14,C
Caracas_5402,-6,F
Chicago_5403,74.1,F
Bogota_5404,25.4,C
Monterrey_5405,-13.5,F
Pekín_5406,25.6,C
Paris_5407,62.6,F
Reykjavik_5408,25.4,C
Atenas_5409,105.1,F
Pekín_5410,14.5,C
Madrid_5411,14.6,C
Roma_5412,-19,F
Singapur_5413,65.2,F
Seattle_5414,-21.5,F
Londres_5415,1.5,C
Monterrey_5416,-21.6,C
Nueva York_5417,60.6,F
Santiago_5418,77.3,F
Nairobi_5419,-1.7,C
Sydney_5420,98.7,F
Mumbai_5421,12.6,C
Monterrey_5422,113.4,F
Estocolmo_5423,-7.4,C
Madrid_5424,25,C
Pekín_5425,19.9,C
Monterrey_5426,16,C
Buenos Aires_5427,105.1,F
Puebla_5428,-10.8,C
Bangkok_5429,42.5,C
Lagos_5430,93.3,F
Cancun_5431,28.4,C
Ankara_5432,-29.8,C
Phoenix_5433,55.6,F
Ankara_5434,9,C
Madrid_5435,87.9,F
Bangkok_5436,-7.6,F
Lagos_5437,9.4,F
Madrid_5438,12.3,F
Chicago_5439,95.9,F
Los Angeles_5440,20.2,C
Puebla_5441,-13.3,C
Moscu_5442,115.1,F
Tokio_5443,31.2,F
Dubai_5444,10.6,C
Honolulu_5445,-23.9,C
Estocolmo_5446,-1.6,C
Bangkok_5447,72.1,F
Moscu_5448,-21.7,C
Lisboa_5449,49.3,F
Houston_5450,-2.2,C
Reykjavik_5451,-18.5,C
Denver_5452,47.1,C
Phoenix_5453,68.1,F
Paris_5454,-7.2,C
Pekín_5455,95,F
Reykjavik_5456,33.7,F
Las Vegas_5457,97.5,F
Cairo_5458,-11.8,F
Tokio_5459,-0.1,C
CDMX_5460,43.4,F
Paris_5461,7.4,C
Lima_5462,32.4,F
Oslo_5463,5,C
Singapur_5464,41.4,F
Miami_5465,-4.7,C
Oslo_5466,6.7,C
Puebla_5467,91.4,F
Monterrey_5468,85.2,F
Buenos Aires_5469,-23.5,C
Chicago_5470,65,F
Mumbai_5471,-29.7,C
Miami_5472,-21.7,C
Lisboa_5473,28.4,C
Los Angeles_5474,41.1,F
Melbourne_5475,15.8,C
Atenas_5476,25.3,C
Lagos_5477,54.9,F
Paris_5478,-21.8,F
Caracas_5479,-17.9,C
Phoenix_5480,-16.1,F
Seattle_5481,16.9,C
Buenos Aires_5482,-20.3,C
Tokio_5483,-26.5,C
Cancun_5484,111.8,F
Roma_5485,-28,C
Singapur_5486,11.4,F
Buenos Aires_5487,-14.7,C
Dubai_5488,25.1,F
Roma_5489,-29.3,C
Moscu_5490,8.5,C
Atenas_5491,86.6,F
Nairobi_5492,30.4,C
CDMX_5493,16.9,C
Melbourne_5494,-21.8,C
Cairo_5495,26.6,C
Oslo_5496,-4,C
Paris_5497,41.8,F
CDMX_5498,115.8,F
Estocolmo_5499,50.4,F
Berlin_5500,29.3,F
Lima_5501,24.7,F
Chicago_5502,51.5,F
Oslo_5503,-13.7,C
Dubai_5504,-3.3,C
Phoenix_5505,64.1,F
Roma_5506,12.6,C
Lisboa_5507,82.3,F
Reykjavik_5508,80.1,F
Singapur_5509,7.4,C
Boston_5510,26.1,C
Cancun_5511,19.3,C
Budapest_5512,96,F
Phoenix_5513,30.4,C
Helsinki_5514,92.3,F
Miami_5515,4.4,F
Sydney_5516,31.2,F
Moscu_5517,1.8,C
Lisboa_5518,106.4,F
Lima_5519,106.1,F
Buenos Aires_5520,-10.1,C
Varsovia_5521,5.4,C
Los Angeles_5522,31.2,C
Monterrey_5523,84.6,F
Atenas_5524,103.7,F
Cairo_5525,15.9,C
Budapest_5526,73.5,F
Paris_5527,8.3,C
Nueva York_5528,28.8,C
Budapest_5529,26.1,C
Toronto_5530,21.4,F
Madrid_5531,9,C
Dubai_5532,27.4,C
Nueva York_5533,43.8,C
Helsinki_5534,77.7,F
Bangkok_5535,-5.5,F
Honolulu_5536,20.5,C
Mumbai_5537,-0.4,C
Nueva York_5538,48.2,C
Boston_5539,24,C
Mumbai_5540,17.4,F
Londres_5541,8.8,F
Berlin_5542,37.3,C
Guadalajara_5543,43.5,F
Pekín_5544,53.4,F
Lagos_5545,5.5,F
Moscu_5546,87,F
Pekín_5547,116.9,F
Varsovia_5548,15.1,F
Auckland_5549,-22,C
Houston_5550,105.5,F
Seattle_5551,-2.7,C
Mumbai_5552,8.9,F
Santiago_5553,-5,C
Houston_5554,49.7,C
Singapur_5555,45.2,C
Honolulu_5556,-7.3,C
Dubai_5557,-10.5,F
Pekín_5558,25.9,C
Miami_5559,33.1,C
Seattle_5560,-29.2,C
Moscu_5561,28.5,F
Guadalajara_5562,-21.3,C
Singapur_5563,42.1,C
Phoenix_5564,113.2,F
Houston_5565,-15,C
Londres_5566,26.3,C
Helsinki_5567,-20.4,F
Dubai_5568,-19.1,F
Sydney_5569,71.9,F
Monterrey_5570,-16.6,C
Paris_5571,19,C
Auckland_5572,8.9,C
Las Vegas_5573,-10.1,C
Atenas_5574,-24,C
Phoenix_5575,34.1,C
Buenos Aires_5576,4.4,F
Lima_5577,73.3,F
Nairobi_5578,-21.4,F
Cancun_5579,42.8,F
Dubai_5580,25.2,C
Phoenix_5581,-13.5,C
Dubai_5582,119.1,F
Melbourne_5583,44.3,F
Paris_5584,6.7,F
Puebla_5585,112.8,F
Londres_5586,40.2,F
Mumbai_5587,25.9,C
Ankara_5588,8.4,F
Auckland_5589,29.6,F
Boston_5590,42.3,F
Auckland_5591,117.3,F
Londres_5592,12.2,C
Auckland_5593,20.5,C
Caracas_5594,120.8,F
Buenos Aires_5595,2.1,C
Auckland_5596,-29.2,C
Monterrey_5597,-13.8,C
Buenos Aires_5598,28.4,C
Seattle_5599,30.6,F
Auckland_5600,32,C
Oslo_5601,-1.8,C
Honolulu_5602,-28,C
Denver_5603,100.5,F
Seattle_5604,-19.5,F
Singapur_5605,73.4,F
Monterrey_5606,71.9,F
Dubai_5607,-3.6,F
Melbourne_5608,34.2,C
Auckland_5609,48.6,C
Dubai_5610,78.5,F
Seattle_5611,47.4,C
Monterrey_5612,120.4,F
Pekín_5613,60.5,F
Budapest_5614,30.3,C
Miami_5615,-26.3,C
Nueva York_5616,5.2,C
Caracas_5617,120.7,F
Las Vegas_5618,42.3,C
Buenos Aires_5619,54.8,F
Tokio_5620,-10.6,F
Cairo_5621,41.6,F
Chicago_5622,-14.9,C
Santiago_5623,102.9,F
Santiago_5624,93.2,F
Auckland_5625,40.6,C
Houston_5626,97.5,F
Reykjavik_5627,41.5,C
CDMX_5628,19.1,C
Dubai_5629,121.8,F
Londres_5630,5.9,C
Las Vegas_5631,-9,C
Roma_5632,88.9,F
Nueva York_5633,17,F
Singapur_5634,107,F
Reykjavik_5635,-13.1,F
Pekín_5636,-6.9,C
Roma_5637,23.3,C
Auckland_5638,46.4,F
Nairobi_5639,20.6,C
Mumbai_5640,47.7,C
Guadalajara_5641,29.5,C
Santiago_5642,17.5,C
Chicago_5643,94.3,F
Auckland_5644,115.6,F
Houston_5645,94.8,F
Dubai_5646,34.1,F
Estocolmo_5647,33.2,F
Guadalajara_5648,46,F
Budapest_5649,27.4,F
Lisboa_5650,1,C
Budapest_5651,83,F
Denver_5652,-5,F
Lagos_5653,101.5,F
Estocolmo_5654,8.9,C
Pekín_5655,57.6,F
Cairo_5656,38.7,F
Dubai_5657,19.6,F
Moscu_5658,-11.5,C
Caracas_5659,-13.8,C
Atenas_5660,19.8,C
Phoenix_5661,59,F
Chicago_5662,6.3,F
Caracas_5663,46.5,C
Bogota_5664,33,C
Reykjavik_5665,100,F
Nueva York_5666,-26.9,C
Las Vegas_5667,67.4,F
Dubai_5668,10.4,C
Honolulu_5669,104.5,F
Pekín_5670,2.5,C
Honolulu_5671,61.8,F
Caracas_5672,59.5,F
Budapest_5673,56.9,F
Miami_5674,29.8,F
Los Angeles_5675,-8.8,C
Moscu_5676,4.1,C
Roma_5677,11.2,C
Buenos Aires_5678,6.8,F
Sydney_5679,62,F
Houston_5680,3.9,F
Mumbai_5681,118.4,F
Toronto_5682,23.7,C
Caracas_5683,-18.3,F
Atenas_5684,79.1,F
Berlin_5685,101.4,F
Tokio_5686,19.1,F
Santiago_5687,88.6,F
Budapest_5688,17,C
Los Angeles_5689,17.8,C
Melbourne_5690,-21.6,C
Seattle_5691,-19.2,C
Estocolmo_5692,43.4,C
Atenas_5693,-9.5,C
Las Vegas_5694,49,F
Phoenix_5695,63,F
Londres_5696,114.1,F
Oslo_5697,34.3,C
Las Vegas_5698,-0.3,C
Atenas_5699,-18.8,C
Monterrey_5700,39.9,C
Madrid_5701,-1.1,C
Caracas_5702,38.5,C
Melbourne_5703,44.8,C
Helsinki_5704,94.6,F
Bogota_5705,-10.3,C
Lisboa_5706,-12,F
Budapest_5707,103,F
Ankara_5708,100,F
Caracas_5709,58.7,F
Nueva York_5710,-5.7,F
Cancun_5711,57.1,F
Honolulu_5712,36.7,C
Caracas_5713,11.3,F
Cairo_5714,38.1,C
Lima_5715,42.6,F
Melbourne_5716,117.6,F
CDMX_5717,42,F
Bangkok_5718,18.8,F
Atenas_5719,60.9,F
Denver_5720,-0.2,C
Lagos_5721,-16.4,C
Los Angeles_5722,113.2,F
Estocolmo_5723,98.9,F
Monterrey_5724,45.8,C
Oslo_5725,4.3,F
Varsovia_5726,37.2,F
Atenas_5727,37,F
Nairobi_5728,-5.5,F
Lima_5729,-4,F
Dubai_5730,39.1,C
Las Vegas_5731,11.7,C
Berlin_5732,27.5,C
Mumbai_5733,84.3,F
Mumbai_5734,24.4,C
Estocolmo_5735,14.2,C
Estocolmo_5736,27,C
Lisboa_5737,-5.8,F
Honolulu_5738,17.3,F
Puebla_5739,30.7,F
Singapur_5740,48.1,C
Budapest_5741,84.1,F
Estocolmo_5742,37.8,C
Madrid_5743,-27.8,C
Budapest_5744,-9.8,F
Chicago_5745,15.6,F
Las Vegas_5746,0.1,F
Ankara_5747,2.3,C
Cancun_5748,-26.5,C
Denver_5749,47,F
Singapur_5750,-26.2,C
Seattle_5751,-14.5,F
Bogota_5752,61.1,F
Melbourne_5753,-10.6,C
Las Vegas_5754,6.9,C
Lagos_5755,11,C
Ankara_5756,-19.1,C
Buenos Aires_5757,67.6,F
Budapest_5758,38.8,C
Cairo_5759,91.3,F
Estocolmo_5760,-16.2,C
Bogota_5761,31.4,F
Puebla_5762,-3.5,C
Cairo_5763,-2,C
Houston_5764,-5.3,F
Budapest_5765,28.6,F
Cairo_5766,32,C
Varsovia_5767,37.7,C
Caracas_5768,-5.6,C
Boston_5769,-28.5,C
Roma_5770,87,F
Paris_5771,16.6,C
Guadalajara_5772,3.9,F
Seattle_5773,33.9,C
Melbourne_5774,76.8,F
Mumbai_5775,89.5,F
Reykjavik_5776,10.3,F
Melbourne_5777,-5.7,F
Reykjavik_5778,18.9,C
Cairo_5779,49.5,F
Reykjavik_5780,4.2,C
Reykjavik_5781,76.4,F
Buenos Aires_5782,5.5,C
Roma_5783,39.6,C
Los Angeles_5784,34.4,C
Santiago_5785,90.7,F
Tijuana_5786,4.3,C
Bangkok_5787,-28.9,C
Helsinki_5788,102.5,F
Varsovia_5789,58,F
Denver_5790,-10.5,C
Singapur_5791,33.2,F
Lima_5792,46.9,C
Nueva York_5793,13.1,C
Lisboa_5794,-27.5,C
Varsovia_5795,49.6,C
Cairo_5796,18.6,F
Tijuana_5797,-23.3,C
Nueva York_5798,-8,C
Paris_5799,24.8,C
Madrid_5800,73.9,F
Denver_5801,31,C
Houston_5802,43.3,F
Singapur_5803,-1.2,F
Atenas_5804,33.1,C
Paris_5805,-11.4,C
Seattle_5806,0.9,F
Reykjavik_5807,77.1,F
Cancun_5808,3,F
Honolulu_5809,24.6,F
Oslo_5810,-2.5,C
Denver_5811,35.5,C
Santiago_5812,114.3,F
Miami_5813,7.8,C
Caracas_5814,1.5,C
Nairobi_5815,-24.7,C
Estocolmo_5816,-11.7,C
Bangkok_5817,27.8,F
Bangkok_5818,57.2,F
Caracas_5819,-24,C
Reykjavik_5820,49.2,C
Tokio_5821,61.7,F
Ankara_5822,0,C
Berlin_5823,31.8,F
Varsovia_5824,115.7,F
Las Vegas_5825,37.7,C
Roma_5826,21.4,F
Nueva York_5827,92.7,F
Bangkok_5828,12.4,C
Buenos Aires_5829,28.7,C
Cairo_5830,-24.4,C
Nueva York_5831,10.9,C
Bogota_5832,-29.7,C
Las Vegas_5833,94,F
Berlin_5834,-27.8,C
Berlin_5835,-15.6,C
Reykjavik_5836,27.6,F
Oslo_5837,116.1,F
Buenos Aires_5838,-4.6,C
Houston_5839,37,F
Oslo_5840,30.1,C
Madrid_5841,-7.3,C
Denver_5842,10,C
Los Angeles_5843,106.5,F
Helsinki_5844,91,F
Lima_5845,1,C
Paris_5846,78,F
Buenos Aires_5847,-2.9,C
Londres_5848,76.2,F
Mumbai_5849,22.7,C
Lisboa_5850,17.2,F
Sydney_5851,104.7,F
Madrid_5852,3.3,C
Monterrey_5853,60.9,F
Mumbai_5854,51.3,F
Las Vegas_5855,-17.2,C
Monterrey_5856,-11.3,C
Houston_5857,49.7,C
Miami_5858,89.5,F
Londres_5859,59,F
Lisboa_5860,11.9,F
Nueva York_5861,37.6,C
Chicago_5862,71.7,F
Singapur_5863,43.4,C
Estocolmo_5864,100.7,F
Tokio_5865,47.2,C
Berlin_5866,101.8,F
Houston_5867,120.9,F
Budapest_5868,34.9,C
Chicago_5869,24.9,F
Paris_5870,-4.9,F
Miami_5871,-8,F
Houston_5872,19.1,F
Los Angeles_5873,-11.5,C
Paris_5874,-19.4,C
Lisboa_5875,37.6,C
Miami_5876,0.5,C
Oslo_5877,31.9,C
Puebla_5878,-29.3,C
Miami_5879,38.2,C
Boston_5880,63,F
Varsovia_5881,44,C
Mumbai_5882,30.5,C
Cairo_5883,82.4,F
Lisboa_5884,-13.5,F
Bangkok_5885,-18.1,C
Seattle_5886,41.7,F
Varsovia_5887,-8.2,C
Melbourne_5888,5.2,C
Houston_5889,10.7,C
Reykjavik_5890,116.2,F
Helsinki_5891,83.3,F
Honolulu_5892,62.6,F
Estocolmo_5893,-8.9,C
Madrid_5894,-2.3,F
Londres_5895,-9.1,C
Sydney_5896,9,C
Roma_5897,112.8,F
Reykjavik_5898,37.1,C
Tijuana_5899,102.4,F
Los Angeles_5900,120.6,F
Honolulu_5901,69.1,F
Houston_5902,82.2,F
Bangkok_5903,56.4,F
Auckland_5904,46.3,F
Madrid_5905,19.7,C
Miami_5906,-10,C
Nairobi_5907,46.5,C
Helsinki_5908,78.6,F
Tokio_5909,32.6,C
Lagos_5910,75.7,F
Singapur_5911,-21.8,C
Miami_5912,8.6,F
Bogota_5913,40,F
Seattle_5914,-28.3,C
Caracas_5915,-10.8,C
Guadalajara_5916,9.1,C
Boston_5917,6.2,F
Helsinki_5918,-10.5,C
Sydney_5919,59.3,F
Lima_5920,12.3,C
Estocolmo_5921,5,C
Madrid_5922,9.2,F
Caracas_5923,28.7,C
Estocolmo_5924,90.8,F
Cancun_5925,90.6,F
Nairobi_5926,37.5,C
Londres_5927,-20,C
Las Vegas_5928,44.9,F
Mumbai_5929,5.9,C
Lima_5930,39.6,F
Lima_5931,37.6,C
Madrid_5932,-26.2,C
Puebla_5933,-8.5,F
Miami_5934,-18.4,C
Denver_5935,-22.3,C
Houston_5936,120.7,F
Auckland_5937,49.4,C
Madrid_5938,21.8,C
Buenos Aires_5939,49,C
Singapur_5940,43.7,C
Houston_5941,17.7,C
Pekín_5942,42.4,C
Pekín_5943,-19.1,C
Buenos Aires_5944,84.2,F
Toronto_5945,-13.9,C
Toronto_5946,107.2,F
Mumbai_5947,118,F
Roma_5948,28.1,C
Roma_5949,-20.6,F
Berlin_5950,3.7,C
Boston_5951,-14.6,C
Tokio_5952,110.3,F
Nueva York_5953,-5.3,C
Denver_5954,19.2,F
Las Vegas_5955,13.5,C
Helsinki_5956,91.1,F
Guadalajara_5957,14.2,C
Puebla_5958,82.5,F
Las Vegas_5959,22.6,F
Ankara_5960,37.9,C
Puebla_5961,31.1,C
Singapur_5962,33.5,C
